Processes,Threads,GraphSize,ExecutionTime,BestPathLength
2,4,500,18.759305,1555864
2,4,600,21.814331,1892476
2,4,750,27.115187,2370588
2,4,800,29.363145,2607380
2,4,900,32.746058,2855482
2,4,1000,36.434222,3284970
2,4,5000,187.770427,16334106
2,4,10000,384.354568,33192824
4,2,500,9.290042,1568408
4,2,600,11.137087,1945870
4,2,750,13.729632,2393618
4,2,800,14.581258,2539050
4,2,900,16.336685,2823990
4,2,1000,18.114773,3271934
4,2,5000,93.068225,16442316
4,2,10000,191.922849,32949292
8,1,500,4.546183,1571278
8,1,600,5.549264,1898254
8,1,750,6.919726,2276528
8,1,800,7.291259,2557802
8,1,900,9.090929,3130824
8,1,1000,47.345018,16164052
8,1,5000,47.345018,16164052
8,1,10000,98.318029,32865358
